id,title,recommends
1640.0,Disciples II: Gallean's Return,"[1630.0, 10270.0, 15170.0, 1620.0, 229790.0]"
1630.0,Disciples II: Rise of the Elves,"[1640.0, 229790.0, 15380.0, 289200.0, 15170.0]"
2400.0,The Ship: Murder Party,"[2420.0, 2450.0, 360.0, 6860.0, 4000.0]"
662570.0,United Tactics,"[544610.0, 692080.0, 575850.0, 527230.0, 402570.0]"
381620.0,Life of Rome,"[327070.0, 326160.0, 389040.0, 696370.0, 322300.0]"
714020.0,Idle Adventure,"[716950.0, 651280.0, 676070.0, 741320.0, 402450.0]"
759920.0,Souland,"[731600.0, 658250.0, 707220.0, 663690.0, 765240.0]"
659780.0,Darkness and a Crowd,"[718590.0, 745400.0, 371140.0, 766700.0, 432640.0]"
603280.0,TAROTICA VOO DOO,"[664580.0, 727550.0, 723070.0, 386460.0, 748730.0]"
753110.0,Chronicles of Vinland,"[394490.0, 680860.0, 664000.0, 733460.0, 521150.0]"
753100.0,Orbitality,"[752310.0, 752300.0, 750660.0, 726330.0, 703250.0]"
764280.0,Atomic Adam: Episode 1,"[515740.0, 564480.0, 629100.0, 670100.0, 682640.0]"
758550.0,Mirt. Tales of the Cold Land. Chapter 2,"[736550.0, 607100.0, 694180.0, 584050.0, 628700.0]"
3800.0,Advent Rising,"[2610.0, 13570.0, 262080.0, 12120.0, 6060.0]"
1520.0,DEFCON,"[587000.0, 420520.0, 321410.0, 251060.0, 1510.0]"
2420.0,The Ship: Single Player,"[2400.0, 2450.0, 691620.0, 531890.0, 321710.0]"
4000.0,Garry's Mod,"[222880.0, 41074.0, 440.0, 1250.0, 265630.0]"
4230.0,RACE - The WTCC Game,"[8780.0, 44650.0, 44620.0, 44670.0, 44660.0]"
4900.0,Zen of Sudoku,"[441480.0, 282370.0, 310100.0, 471240.0, 494080.0]"
2520.0,Gumboy - Crazy Adventures™,"[348970.0, 348310.0, 11230.0, 711190.0, 317370.0]"
6200.0,Ghost Master®,"[427190.0, 3590.0, 302210.0, 441130.0, 57600.0]"
6210.0,Vegas: Make It Big™,"[9730.0, 519180.0, 1670.0, 39650.0, 294830.0]"
6300.0,Dreamfall: The Longest Journey,"[6310.0, 237850.0, 292120.0, 228300.0, 499520.0]"
2990.0,FlatOut 2™,"[6220.0, 12360.0, 202310.0, 228380.0, 207114.0]"
6220.0,FlatOut,"[12360.0, 2990.0, 202310.0, 207113.0, 207111.0]"
6510.0,Lost Planet™: Extreme Condition,"[45720.0, 40.0, 21670.0, 360.0, 212410.0]"
3980.0,CivCity: Rome,"[517810.0, 23455.0, 23400.0, 9730.0, 23450.0]"
1700.0,Arx Fatalis,"[242960.0, 2100.0, 22320.0, 215630.0, 22330.0]"
6310.0,The Longest Journey,"[6300.0, 237850.0, 6910.0, 11370.0, 15130.0]"
3990.0,Civilization IV®: Warlords,"[16810.0, 8800.0, 235580.0, 282210.0, 16870.0]"
7610.0,Railroad Tycoon 3,"[7620.0, 7600.0, 24780.0, 2700.0, 306490.0]"
7600.0,Sid Meier's Railroads!,"[7610.0, 2700.0, 209811.0, 433090.0, 433091.0]"
7620.0,Railroad Tycoon II Platinum,"[7610.0, 3960.0, 341000.0, 420970.0, 293960.0]"
2540.0,RIP - Trilogy™,"[758580.0, 15350.0, 3490.0, 515990.0, 470030.0]"
7650.0,X-COM: Terror From the Deep,"[7760.0, 223830.0, 215930.0, 1620.0, 7660.0]"
8000.0,Tomb Raider: Anniversary,"[8140.0, 7000.0, 203160.0, 224960.0, 225300.0]"
6550.0,Devil May Cry® 3 Special Edition,"[45700.0, 329050.0, 220440.0, 423230.0, 460790.0]"
8200.0,Sam &amp; Max 101: Culture Shock,"[901399.0, 901660.0, 8320.0, 31170.0, 8210.0]"
2290.0,Final DOOM,"[9160.0, 2300.0, 2280.0, 2310.0, 2320.0]"
2570.0,Vigil: Blood Bitterness™,"[300910.0, 300900.0, 23600.0, 607670.0, 543380.0]"
8210.0,Sam &amp; Max 102: Situation: Comedy,"[8320.0, 8240.0, 8250.0, 31180.0, 31210.0]"
2280.0,Ultimate Doom,"[9160.0, 2300.0, 2290.0, 2310.0, 2320.0]"
9160.0,Master Levels for Doom II,"[2280.0, 2290.0, 2300.0, 2310.0, 2320.0]"
2300.0,DOOM II,"[2280.0, 2290.0, 9160.0, 2270.0, 2310.0]"
2270.0,Wolfenstein 3D,"[2300.0, 9000.0, 2280.0, 9160.0, 2290.0]"
9010.0,Return to Castle Wolfenstein,"[350080.0, 201810.0, 2640.0, 612880.0, 612880.0]"
9040.0,QUAKE Mission Pack 1: Scourge of Armagon,"[32680.0, 1300.0, 38450.0, 9030.0, 351810.0]"
9000.0,Spear of Destiny,"[2270.0, 329650.0, 9180.0, 9160.0, 2290.0]"
3810.0,BloodRayne,"[3820.0, 253980.0, 281220.0, 224300.0, 258220.0]"
9030.0,QUAKE Mission Pack 2: Dissolution of Eternity,"[2340.0, 317040.0, 2390.0, 9040.0, 3270.0]"
2310.0,QUAKE,"[2320.0, 2200.0, 2290.0, 2280.0, 9160.0]"
3230.0,Genesis Rising,"[281390.0, 732470.0, 489170.0, 216130.0, 275510.0]"
9310.0,"Warhammer® 40,000: Dawn of War® – Winter Assault","[4570.0, 4580.0, 9450.0, 20570.0, 56437.0]"
7670.0,BioShock™,"[409710.0, 8850.0, 409720.0, 525720.0, 8870.0]"
4570.0,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","[4580.0, 9310.0, 9450.0, 20570.0, 56437.0]"
4580.0,"Warhammer® 40,000: Dawn of War® - Dark Crusade","[4570.0, 9310.0, 9450.0, 20570.0, 56437.0]"
4760.0,Rome: Total War™ - Collection,"[325610.0, 214950.0, 901162.0, 4700.0, 273380.0]"
4770.0,Rome: Total War™ - Alexander,"[212301.0, 273380.0, 327280.0, 261050.0, 273381.0]"
50970.0,Mystery Case Files: Madame Fate®,"[514700.0, 50910.0, 50960.0, 50940.0, 50920.0]"
12170.0,Grand Theft Auto,"[771300.0, 12180.0, 901583.0, 329650.0, 245010.0]"
12180.0,Grand Theft Auto 2,"[12170.0, 901583.0, 376850.0, 771300.0, 271590.0]"
12130.0,Manhunt,"[438740.0, 530620.0, 601430.0, 22120.0, 4720.0]"
12160.0,Midnight Club 2,"[71230.0, 12110.0, 9930.0, 289460.0, 292410.0]"
12150.0,Max Payne 2: The Fall of Max Payne,"[12140.0, 204100.0, 202750.0, 13560.0, 108710.0]"
7000.0,Tomb Raider: Legend,"[8140.0, 8000.0, 225320.0, 224980.0, 225300.0]"
12140.0,Max Payne,"[12150.0, 202750.0, 204100.0, 108710.0, 21090.0]"
17480.0,Command &amp; Conquer: Red Alert 3,"[24800.0, 24790.0, 24810.0, 47700.0, 331500.0]"
12500.0,PuzzleQuest: Challenge of the Warlords,"[47540.0, 23700.0, 23500.0, 227580.0, 78000.0]"
12310.0,Culpa Innata,"[270230.0, 513890.0, 11370.0, 33990.0, 377970.0]"
12510.0,Prison Tycoon 3™: Lockdown,"[12670.0, 656180.0, 3490.0, 3230.0, 218040.0]"
12530.0,Hunting Unlimited™ 2008,"[545940.0, 545920.0, 489050.0, 302080.0, 12520.0]"
12520.0,18 Wheels of Steel: American Long Haul,"[302080.0, 21780.0, 11390.0, 8600.0, 378350.0]"
8100.0,Conflict: Denied Ops,"[211780.0, 9460.0, 271500.0, 21400.0, 713940.0]"
2780.0,ARMA: Combat Operations,"[33934.0, 65780.0, 65700.0, 65720.0, 33900.0]"
9730.0,Tycoon City: New York,"[6210.0, 517810.0, 671670.0, 341930.0, 592550.0]"
9710.0,Desperados 2: Cooper's Revenge,"[18470.0, 260730.0, 623920.0, 321710.0, 662920.0]"
9800.0,Death to Spies,"[34410.0, 256190.0, 238090.0, 24840.0, 739200.0]"
9760.0,Act of War: High Treason,"[2710.0, 58645.0, 58646.0, 529390.0, 443730.0]"
2700.0,RollerCoaster Tycoon® 3: Platinum,"[24780.0, 7600.0, 493340.0, 255710.0, 243040.0]"
2710.0,Act of War: Direct Action,"[9760.0, 58645.0, 58646.0, 529390.0, 443730.0]"
13200.0,Unreal 2: The Awakening,"[20550.0, 13230.0, 13250.0, 13560.0, 13240.0]"
13250.0,Unreal Gold,"[13240.0, 13230.0, 13210.0, 13200.0, 2310.0]"
13000.0,Ninja Reflex: Steamworks Edition,"[16500.0, 673040.0, 561010.0, 429462.0, 429460.0]"
13560.0,Tom Clancy's Splinter Cell®,"[13570.0, 15120.0, 6900.0, 6880.0, 6860.0]"
13520.0,Far Cry®,"[17300.0, 108800.0, 287390.0, 19900.0, 377160.0]"
13240.0,Unreal Tournament: Game of the Year Edition,"[13230.0, 13210.0, 2200.0, 2320.0, 13250.0]"
13540.0,Tom Clancy's Rainbow Six® Vegas,"[13580.0, 15120.0, 377560.0, 13570.0, 33372.0]"
15210.0,Silent Hunter® III,"[48110.0, 15200.0, 91330.0, 256190.0, 15190.0]"
16180.0,Virtual Villagers - The Secret City,"[16200.0, 16110.0, 16100.0, 16120.0, 16130.0]"
3520.0,Mystery P.I.™ - The Vegas Heist,"[3530.0, 3570.0, 3610.0, 3500.0, 3510.0]"
15970.0,Luxor,"[16030.0, 15900.0, 16040.0, 234350.0, 216930.0]"
15950.0,Reaxxion,"[16040.0, 15970.0, 16000.0, 16030.0, 15900.0]"
15960.0,Little Farm,"[16040.0, 15900.0, 16030.0, 15950.0, 15970.0]"
15900.0,7 Wonders II,"[16030.0, 15970.0, 16040.0, 275810.0, 32120.0]"
15910.0,Luxor Amun Rising,"[15920.0, 16040.0, 15930.0, 32110.0, 234350.0]"
15930.0,Luxor 3,"[32110.0, 3490.0, 16040.0, 32120.0, 275830.0]"
15160.0,Petz® Horsez® 2,"[276340.0, 307770.0, 276360.0, 321421.0, 649810.0]"
15920.0,Luxor 2,"[15920.0, 16040.0, 15930.0, 32110.0, 234350.0]"
15080.0,Rayman Raving Rabbids™,"[573832.0, 573831.0, 573830.0, 750230.0, 556390.0]"
15200.0,Silent Hunter®: Wolves of the Pacific,"[48110.0, 15240.0, 15210.0, 11260.0, 6870.0]"
15320.0,IL-2 Sturmovik: 1946,"[754530.0, 63950.0, 46362.0, 234510.0, 46340.0]"
15240.0,Silent Hunter®: Wolves of the Pacific U-Boat Missions,"[15200.0, 48110.0, 15210.0, 11260.0, 365260.0]"
8310.0,Bone: Out From Boneville,"[8320.0, 8220.0, 8230.0, 8330.0, 31190.0]"
12600.0,Midnight Outlaw: 6 Hours to SunUp,"[447920.0, 691860.0, 680370.0, 346130.0, 315600.0]"
8320.0,Bone: The Great Cow Race,"[8210.0, 8310.0, 8220.0, 8200.0, 8230.0]"
12590.0,Sprint Cars Road to Knoxville,"[8690.0, 447920.0, 285520.0, 567430.0, 21500.0]"
12580.0,Dr. Daisy Pet Vet,"[12570.0, 12540.0, 37230.0, 11920.0, 16500.0]"
12560.0,Ride! Carnival Tycoon,"[685120.0, 363530.0, 11590.0, 16120.0, 289340.0]"
12570.0,Hot Dish,"[12570.0, 12540.0, 37230.0, 11920.0, 16500.0]"
12540.0,Mahjongg Investigations: Under Suspicion,"[12570.0, 12580.0, 37230.0, 3490.0, 15350.0]"
11050.0,Dracula Origin,"[11040.0, 11130.0, 474240.0, 11140.0, 11190.0]"
10520.0,Beijing 2008™ - The Official Video Game of the Olympic Games,"[34180.0, 451210.0, 660390.0, 386430.0, 27200.0]"
11040.0,Sherlock Holmes - Nemesis,"[11130.0, 11190.0, 11140.0, 11150.0, 11050.0]"
19500.0,Eternity's Child,"[506830.0, 428410.0, 717910.0, 390760.0, 617270.0]"
11260.0,Pacific Storm Allies,"[289580.0, 11250.0, 285480.0, 6870.0, 15200.0]"
19200.0,Tank Universal,"[16500.0, 11360.0, 562660.0, 513820.0, 598340.0]"
12360.0,FlatOut: Ultimate Carnage,"[6220.0, 2990.0, 202310.0, 207111.0, 207112.0]"
15710.0,Oddworld: Abe's Exoddus®,"[15700.0, 15740.0, 391880.0, 400780.0, 616970.0]"
15700.0,Oddworld: Abe's Oddysee®,"[15710.0, 15740.0, 400780.0, 391880.0, 616970.0]"
8660.0,GTR Evolution Expansion Pack for RACE 07,"[8690.0, 8650.0, 8600.0, 44660.0, 44670.0]"
7770.0,X-COM: Enforcer,"[267980.0, 557970.0, 130.0, 7020.0, 22610.0]"
7660.0,X-COM: Apocalypse,"[292160.0, 38420.0, 253920.0, 7760.0, 7650.0]"
7760.0,X-COM: UFO Defense,"[7650.0, 223830.0, 337680.0, 215930.0, 1620.0]"
20510.0,S.T.A.L.K.E.R.: Clear Sky,"[4500.0, 41700.0, 270270.0, 22300.0, 241540.0]"
17330.0,Crysis Warhead®,"[17300.0, 108800.0, 13520.0, 9460.0, 340.0]"
17300.0,Crysis,"[17330.0, 108800.0, 13520.0, 3020.0, 340.0]"
7730.0,X-COM: Interceptor,"[429530.0, 2810.0, 732470.0, 345580.0, 273620.0]"
20900.0,The Witcher: Enhanced Edition Director's Cut,"[20920.0, 20902.0, 65540.0, 204030.0, 47730.0]"
1530.0,Multiwinia,"[1500.0, 209771.0, 209772.0, 21400.0, 35300.0]"
8690.0,STCC - The Game 1 - Expansion Pack for RACE 07,"[8650.0, 8660.0, 44650.0, 44660.0, 44620.0]"
17120.0,Children of the Nile: Alexandria,"[17100.0, 17180.0, 517810.0, 17140.0, 9730.0]"
16810.0,Sid Meier's Civilization IV: Colonization,"[8800.0, 3990.0, 235580.0, 282210.0, 16870.0]"
19830.0,Tom Clancy's Rainbow Six® 3 Gold,"[15300.0, 13620.0, 15000.0, 13630.0, 13540.0]"
21000.0,LEGO Batman,"[249130.0, 405310.0, 32330.0, 313690.0, 311770.0]"
4460.0,City Life 2008,"[4470.0, 4420.0, 23400.0, 341930.0, 631540.0]"
17140.0,Hinterland,"[17120.0, 17180.0, 17100.0, 517810.0, 374520.0]"
15390.0,Brothers in Arms: Hell's Highway™,"[15190.0, 19800.0, 256190.0, 91330.0, 2630.0]"
21300.0,Gravitron 2,"[554660.0, 601190.0, 16500.0, 573320.0, 15950.0]"
3050.0,Xpand Rally Xtreme,"[3010.0, 40380.0, 359220.0, 354160.0, 621830.0]"
15380.0,Heroes of Might &amp; Magic V: Hammers of Fate,"[15170.0, 15370.0, 1630.0, 229790.0, 270790.0]"
19800.0,Brothers in Arms: Earned in Blood™,"[15190.0, 15390.0, 91330.0, 356260.0, 256190.0]"
15370.0,Heroes of Might &amp; Magic V: Tribes of the East,"[15380.0, 289200.0, 15170.0, 229790.0, 270790.0]"
19930.0,The Settlers®: Rise Of An Empire Gold Edition,"[15310.0, 901249.0, 354640.0, 374520.0, 33210.0]"
15350.0,Brain Spa,"[3490.0, 313190.0, 15930.0, 37370.0, 2540.0]"
19810.0,The Sum of All Fears,"[13620.0, 13630.0, 15000.0, 212672.0, 212673.0]"
3540.0,Peggle™ Nights,"[3560.0, 3580.0, 3460.0, 3440.0, 3340.0]"
22000.0,World of Goo,"[26900.0, 360380.0, 207690.0, 3590.0, 221260.0]"
2820.0,X3: Terran Conflict,"[2870.0, 201310.0, 2810.0, 2800.0, 2840.0]"
1230.0,Mare Nostrum,"[1280.0, 317600.0, 17530.0, 342370.0, 17730.0]"
18300.0,Spectraball,"[296730.0, 311170.0, 16500.0, 398430.0, 535840.0]"
20200.0,Galactic Bowling,"[32160.0, 710310.0, 393860.0, 386430.0, 750330.0]"
12200.0,Bully: Scholarship Edition,"[12120.0, 12100.0, 10220.0, 901583.0, 271590.0]"
19900.0,Far Cry® 2: Fortune's Edition,"[13570.0, 19980.0, 220240.0, 371660.0, 298110.0]"
11240.0,Space Trader: Merchant Marine,"[345130.0, 732470.0, 216130.0, 382420.0, 392580.0]"
256522.0,PRR Wagon Pack 01,"[256534.0, 256535.0, 256521.0, 256524.0, 256522.0]"
275144.0,"Class 421 London South East ""Jaffa Cake""","[256534.0, 256535.0, 256521.0, 256524.0, 256522.0]"
256521.0,ATSF Wagon Pack 01,"[256534.0, 256535.0, 256521.0, 256524.0, 256522.0]"
222569.0,GP20 Union Pacific Add-on Livery,"[222570.0, 562386.0, 256552.0, 256549.0, 256555.0]"
256535.0,UK Van Wagon Pack,"[256534.0, 256535.0, 256521.0, 256524.0, 256522.0]"
256611.0,CSX SD70MAC Add-on Livery,"[256611.0, 275805.0, 256526.0, 275806.0, 256549.0]"
256576.0,CSX ES44AC Add-on Livery,"[256611.0, 275805.0, 256526.0, 275806.0, 256549.0]"
9480.0,Saints Row 2,"[55230.0, 314580.0, 206420.0, 271590.0, 301910.0]"
17470.0,Dead Space,"[47780.0, 339340.0, 264480.0, 287290.0, 601430.0]"
12770.0,Rise of the Argonauts,"[12630.0, 22450.0, 4470.0, 248710.0, 211160.0]"
17410.0,Mirror's Edge™,"[228300.0, 6310.0, 15130.0, 205950.0, 315440.0]"
18500.0,Defense Grid: The Awakening,"[18523.0, 18522.0, 18521.0, 91200.0, 18120.0]"
16450.0,F.E.A.R. 2: Project Origin,"[21090.0, 4720.0, 42670.0, 366960.0, 418370.0]"
15400.0,Harvest: Massive Encounter,"[416430.0, 684650.0, 764510.0, 590720.0, 669390.0]"
18600.0,Mayhem Intergalactic,"[350610.0, 687540.0, 341360.0, 445110.0, 345200.0]"
11340.0,Larva Mortus,"[345130.0, 46520.0, 676680.0, 281920.0, 11240.0]"
25830.0,Knights of Honor,"[244410.0, 204940.0, 277450.0, 356260.0, 4760.0]"
23460.0,Ceville,"[200550.0, 493900.0, 262280.0, 57656.0, 57655.0]"
10600.0,Empire: Total War™ - Special Forces Units &amp; Bonus Content,"[10606.0, 10607.0, 10604.0, 223180.0, 201277.0]"
21010.0,Watchmen: The End is Nigh,"[21030.0, 614090.0, 396010.0, 674520.0, 658790.0]"
22180.0,Penumbra Overture,"[22120.0, 57300.0, 329200.0, 282140.0, 418300.0]"
13210.0,Unreal Tournament 3 Black,"[13230.0, 13240.0, 2310.0, 318690.0, 2320.0]"
12640.0,Drakensang,"[291650.0, 321800.0, 17450.0, 335120.0, 47730.0]"
21600.0,Age of Booty™,"[688170.0, 466040.0, 740240.0, 619380.0, 700490.0]"
27020.0,The Graveyard,"[229600.0, 27000.0, 27050.0, 287600.0, 281840.0]"
24740.0,Burnout Paradise: The Ultimate Box,"[47870.0, 44350.0, 228380.0, 9930.0, 11390.0]"
90047.0,Zombie Master,"[17730.0, 17510.0, 17530.0, 17550.0, 90044.0]"
26000.0,The Maw,"[26005.0, 26006.0, 26007.0, 541410.0, 732090.0]"
26006.0,The Maw: River Redirect,"[26006.0, 26007.0, 26000.0, 105420.0, 47120.0]"
26005.0,The Maw: Brute Force,"[26006.0, 26007.0, 26000.0, 105420.0, 47120.0]"
11330.0,Obulis,"[29180.0, 655930.0, 513820.0, 37500.0, 695830.0]"
27800.0,Space Giraffe,"[27810.0, 504260.0, 539370.0, 330470.0, 454630.0]"
9850.0,Codename: Panzers - Cold War,"[411310.0, 411320.0, 443670.0, 40320.0, 324680.0]"
3600.0,Escape Rosecliff Island,"[3610.0, 3570.0, 3530.0, 3520.0, 3510.0]"
29580.0,Guild Wars Nightfall®,"[29560.0, 29700.0, 29540.0, 29570.0, 441810.0]"
29540.0,Guild Wars® Game of the Year Edition,"[29560.0, 29580.0, 29700.0, 29570.0, 441810.0]"
29560.0,Guild Wars Factions®,"[29560.0, 29700.0, 29540.0, 29570.0, 441810.0]"
29570.0,Guild Wars Trilogy,"[29580.0, 29560.0, 29700.0, 29540.0, 227400.0]"
23700.0,Puzzle Kingdoms,"[23500.0, 47540.0, 12500.0, 32120.0, 3620.0]"
16060.0,Samantha Swift and the Golden Touch,"[16020.0, 32140.0, 218700.0, 208640.0, 208620.0]"
1930.0,Two Worlds Epic Edition,"[7520.0, 502970.0, 254060.0, 456220.0, 302020.0]"
18470.0,Helldorado,"[9710.0, 623920.0, 260730.0, 36150.0, 356100.0]"
7510.0,X-Blades,"[208670.0, 345350.0, 22450.0, 253980.0, 372540.0]"
22200.0,Zeno Clash,"[215690.0, 311590.0, 244750.0, 255070.0, 700740.0]"
26007.0,The Maw: Speeder Lane,"[26006.0, 26005.0, 26000.0, 105420.0, 224040.0]"
25900.0,King's Bounty: The Legend,"[203350.0, 650440.0, 358010.0, 614530.0, 1620.0]"
16200.0,Virtual Families,"[16180.0, 16110.0, 16100.0, 16120.0, 16130.0]"
7840.0,Death Track®: Resurrection,"[447920.0, 673280.0, 8780.0, 311820.0, 567430.0]"
8890.0,Freedom Force vs. the Third Reich,"[8880.0, 643960.0, 24400.0, 351300.0, 73210.0]"
8880.0,Freedom Force,"[8890.0, 289890.0, 222640.0, 24400.0, 704450.0]"
34500.0,Light of Altair,"[732470.0, 289480.0, 34810.0, 349540.0, 216130.0]"
1280.0,Darkest Hour: Europe '44-'45,"[1230.0, 7830.0, 91330.0, 227940.0, 314420.0]"
10150.0,Prototype™,"[115320.0, 226560.0, 15100.0, 356190.0, 19980.0]"
29160.0,Blueberry Garden,"[400110.0, 389270.0, 339470.0, 265330.0, 610460.0]"
12470.0,Port Royale 2,"[33570.0, 205610.0, 49300.0, 271370.0, 3920.0]"
22340.0,Call of Cthulhu®: Dark Corners of the Earth,"[4720.0, 286690.0, 22180.0, 22120.0, 287390.0]"
22330.0,The Elder Scrolls IV: Oblivion® Game of the Year Edition,"[900883.0, 22320.0, 489830.0, 40300.0, 204030.0]"
22320.0,The Elder Scrolls III: Morrowind® Game of the Year Edition,"[22330.0, 900883.0, 489830.0, 22370.0, 22300.0]"
900883.0,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,"[22330.0, 22320.0, 40300.0, 489830.0, 204030.0]"
12440.0,Ankh 2: Heart of Osiris,"[236970.0, 12450.0, 321940.0, 317202.0, 317208.0]"
32710.0,Armored Fist 3,"[32730.0, 32630.0, 32720.0, 32740.0, 32750.0]"
32740.0,MiG-29 Fulcrum,"[32740.0, 32730.0, 32750.0, 32620.0, 429530.0]"
12460.0,BC Kings,"[492530.0, 35300.0, 21400.0, 11920.0, 655420.0]"
21980.0,Call of Juarez®: Bound in Blood,"[3020.0, 2610.0, 204450.0, 16450.0, 204100.0]"
31860.0,Nancy Drew®: Legend of the Crystal Skull,"[31930.0, 202670.0, 200080.0, 31910.0, 31980.0]"
31900.0,Nancy Drew®: The Creature of Kapu Cave,"[31800.0, 220420.0, 210230.0, 572700.0, 42220.0]"
31920.0,Nancy Drew®: The Phantom of Venice,"[202670.0, 200080.0, 31910.0, 31980.0, 31930.0]"
31930.0,Nancy Drew®: The White Wolf of Icicle Creek,"[31930.0, 202670.0, 200080.0, 31910.0, 31980.0]"
35800.0,BRAINPIPE: A Plunge to Unhumanity,"[383600.0, 110500.0, 423750.0, 431910.0, 269990.0]"
12690.0,Hunting Unlimited 2010,"[25500.0, 328670.0, 455700.0, 489851.0, 514685.0]"
31170.0,Tales of Monkey Island Complete Pack,"[901399.0, 8340.0, 8200.0, 901660.0, 31210.0]"
21660.0,Street Fighter® IV,"[45760.0, 310950.0, 209120.0, 301660.0, 222940.0]"
6080.0,Thrillville®: Off the Rails™,"[509820.0, 764970.0, 671290.0, 672510.0, 505480.0]"
6010.0,Indiana Jones® and the Fate of Atlantis™,"[32340.0, 6040.0, 32360.0, 328430.0, 32310.0]"
6090.0,Armed and Dangerous®,"[13560.0, 318950.0, 13200.0, 20550.0, 726260.0]"
6060.0,"Star Wars: Battlefront 2 (Classic, 2005)","[6030.0, 6000.0, 32380.0, 32390.0, 488430.0]"
32310.0,Indiana Jones® and the Last Crusade™,"[502750.0, 6010.0, 32340.0, 343810.0, 6040.0]"
32330.0,LEGO® Indiana Jones™: The Original Adventures,"[311770.0, 32450.0, 204120.0, 21000.0, 578330.0]"
32360.0,The Secret of Monkey Island: Special Edition,"[6040.0, 6010.0, 32340.0, 415610.0, 316790.0]"
35300.0,Warfare,"[21400.0, 655420.0, 12460.0, 361890.0, 1530.0]"
35310.0,Clutch,"[285520.0, 11390.0, 35320.0, 565340.0, 285500.0]"
31980.0,Nancy Drew®: Ransom of the Seven Ships,"[31910.0, 202670.0, 200080.0, 31920.0, 31930.0]"
31990.0,Nancy Drew®: Ransom of the Seven Ships Demo,"[35050.0, 288460.0, 298010.0, 29150.0, 417420.0]"
10140.0,3D Ultra™ Minigolf Adventures,"[362830.0, 598640.0, 272890.0, 571740.0, 431240.0]"
10100.0,King's Quest™ Collection,"[10110.0, 502750.0, 494740.0, 501990.0, 495700.0]"
10130.0,TimeShift™,"[42670.0, 625910.0, 242980.0, 324650.0, 39670.0]"
10110.0,Space Quest™ Collection,"[10100.0, 494740.0, 502750.0, 6040.0, 495700.0]"
