developer,release_year,item_count,porcentaje_free
3f interactive,2012,1,0.0
3f interactive,2013,1,0.0
3y3.net,2017,1,0.0
4 door lemon,2016,1,0.0
4 friends games,2017,2,0.0
4 head studios,2006,1,0.0
4 head studios,2007,1,0.0
4 i lab,2016,3,33.33
4 i lab,2017,1,0.0
4-panel footprint,2015,2,0.0
40ggames,2017,1,0.0
48h studio,2014,1,0.0
49 games,2007,1,0.0
49 games,2008,1,0.0
4a games,2014,2,0.0
4bit games,2015,1,0.0
4d door games,2017,2,0.0
"4edgesgames,visumeca",2016,1,0.0
4freaksfiction,2017,1,0.0
4friends games,2015,1,0.0
4head studios,2002,1,0.0
4head studios,2008,1,0.0
4netgames,2015,1,0.0
4realms,2015,1,0.0
4sky game studio,2017,1,0.0
4gency,2016,1,0.0
4sdk,2010,1,0.0
4th cluster,2016,1,0.0
4th cluster,2017,2,100.0
5 bits games,2014,1,0.0
5 lives studios,2015,4,0.0
505 games,2013,3,0.0
51pegasi studios,2016,1,0.0
"51pegasi studios,connor lourenco",2017,1,0.0
55 revolver,2016,1,0.0
5wolf,2016,2,0.0
5d games gmbh,2017,1,0.0
5th cell media,2012,1,0.0
5th cell media,2013,1,0.0
5th planet games,2017,1,100.0
651 games,2017,1,0.0
68k studios,2017,1,0.0
6l6 interactive,2016,1,0.0
7 generation games,2016,1,0.0
7 raven studios,2016,3,0.0
7 raven studios,2017,1,0.0
7 road,2016,1,100.0
7 soft pillows,2015,2,0.0
71games,2017,1,0.0
773,2012,1,0.0
773,2014,1,0.0
773,2016,1,0.0
777 studios,2013,8,12.5
777 studios,2014,1,0.0
777 studios,2015,2,0.0
"7config,baddoge",2016,1,0.0
7dots,2017,2,0.0
7k games,2016,1,0.0
7tpgames,2016,1,0.0
8-bit studio,2017,4,25.0
800 north,2017,1,0.0
800 north and digital ranch,2011,1,0.0
800 north and digital ranch,2014,1,0.0
800 north and digital ranch,2015,1,0.0
8888888 labs,2013,1,0.0
88mm,2014,2,0.0
89am studio,2016,1,0.0
89am studio,2017,1,0.0
8d studio,2015,1,0.0
8floor,2015,2,0.0
8monkey labs,2009,1,0.0
8th floor games,2013,1,0.0
9 eyes game studio,2017,1,0.0
971 games,2016,1,0.0
9heads game studios,2012,2,50.0
9heads game studios,2014,1,0.0
@vincentltower,2017,1,0.0
@yearofthebob,2017,1,100.0
@lukasinspace,2017,2,0.0
@unepic_fran,2014,1,0.0
@unepic_fran,2016,3,0.0
@unepic_fran,2017,2,0.0
"a &amp; b game studios, llc",2016,1,0.0
a crowd of monsters,2015,4,0.0
"a crowd of monsters,sonotrigger",2015,1,0.0
a jolly corpse,2014,1,0.0
a maniacal game lp,2017,1,0.0
"a sharp, llc",2015,1,0.0
a stranger gravity,2015,2,0.0
a sweet studio,2017,1,0.0
a and f studios,2017,1,0.0
"a-flight,caipirinha games",2017,1,0.0
"a. fruit,alexey bokulev,sergei klimov,charlie oscar lima tango interactive entertainment",2016,1,0.0
a. hagen,2016,1,100.0
a.j starkey enterprises,2015,2,0.0
a.lepunov,2017,2,0.0
a.y.std,2016,1,0.0
a2a simulations,2015,5,0.0
aa games,2017,1,0.0
aaagames s.r.o.,2016,1,0.0
aad productions,2014,1,0.0
ab soft,2017,1,0.0
acd systems international inc.,2012,1,0.0
"ace ed-venture studio,artoncode™",2017,1,0.0
ace maddox,2015,1,0.0
ace maddox,2017,1,0.0
ace team,2009,1,0.0
ace team,2011,1,0.0
ace team,2013,1,0.0
ace team,2014,2,0.0
ace team,2016,1,0.0
ace team,2017,2,0.0
acquire corp.,2012,1,0.0
acquire corp.,2015,3,33.33
acquire corp.,2016,4,0.0
"acsourse,gamieon, inc.",2016,1,100.0
aecrnia,2017,2,0.0
ael entertainment,2016,1,0.0
ael entertainment,2017,1,100.0
afstudio,2017,1,0.0
ag media,2016,1,0.0
agc,2015,1,0.0
ago games,2015,1,0.0
agp::studios,2016,1,0.0
aha entertainment,2016,1,100.0
aheartfulofgames,2016,2,0.0
aigrind,2017,3,66.67
aihasto,2017,1,0.0
aivik llc,2016,2,0.0
ak games,2016,1,0.0
akgames,2015,2,50.0
al games,2017,1,0.0
al-game,2016,1,0.0
al-game,2017,1,0.0
aleksander chiepaikin,2017,5,0.0
alice in dissonance,2013,1,0.0
alice in dissonance,2015,3,33.33
alice in dissonance,2016,1,0.0
alice in dissonance,2017,1,100.0
allm,2017,4,25.0
allplayer group ltd.,2014,1,0.0
altar interactive,2005,1,0.0
"ama,mando productions",2015,1,0.0
amg games,2017,2,0.0
amidea games,2016,1,0.0
amplitude studios,2012,1,0.0
amplitude studios,2014,3,0.0
amplitude studios,2015,9,33.33
amplitude studios,2016,2,0.0
amplitude studios,2017,8,87.5
ams game development association,2016,1,100.0
"an productions,poxpower",2017,1,100.0
andore,2017,1,0.0
anim•ace,2017,1,0.0
anpa.us,2015,3,0.0
anpa.us,2016,6,0.0
anv team,2017,2,0.0
aos game,2015,1,0.0
apas games,2015,1,0.0
apgal,2017,1,0.0
appidemic studios,2015,1,0.0
applemint,2017,1,0.0
aquria,2017,1,0.0
arb studios,2010,1,0.0
"arc system works co., ltd.,toybox inc.",2017,4,50.0
area 35,2017,1,0.0
ares inc.,2017,1,0.0
argames,2017,1,0.0
ars,2017,1,0.0
artdink,2008,2,0.0
artdink,2015,6,16.67
artdink,2016,1,0.0
artdink,2017,1,0.0
artifacts,2016,1,0.0
artifacts,2017,1,0.0
ardigitc,2017,1,100.0
asc games,2015,1,0.0
asgames,2016,1,0.0
ask homework,2012,1,0.0
astro port,2011,2,50.0
astro port,2014,1,0.0
astro port,2015,3,0.0
astro port,2016,2,0.0
astro port,2017,1,0.0
at the gate team,2017,1,0.0
attack mountain,2016,2,0.0
attack mountain,2017,2,0.0
av media lab,2015,1,0.0
ave,2016,1,0.0
avgames,2016,1,0.0
avolight,2017,1,0.0
avp,2017,1,0.0
awe games,2006,1,0.0
aye technology,2017,3,33.33
az-art development studio,2015,1,0.0
azamatika,2016,1,0.0
aardman animations,2014,1,0.0
aaron arcand,2015,1,0.0
aaron oldenburg,2015,1,0.0
aartform,2013,1,0.0
aartform games,2014,1,0.0
aatlantis code,2016,1,0.0
aatlantis code,2017,1,100.0
abbey games,2013,1,0.0
abbey games,2015,1,0.0
abbey games,2016,1,0.0
abbey games,2017,1,0.0
abdulla hassan al-farsi,2016,1,0.0
abigail corfman,2017,1,0.0
abnormal software,2015,1,0.0
above and beyond technologies,2017,1,0.0
abraham carreola,2015,1,0.0
abrakam sa,2017,2,50.0
abrupt games,2015,1,0.0
absqual studio,2016,1,0.0
absent moon studios,2017,1,0.0
absolut soft llc,2016,1,0.0
absolutist ltd,2017,1,100.0
absolutist ltd.,2009,1,0.0
absolutist ltd.,2015,2,0.0
absolutist ltd.,2016,3,33.33
absorb reality,2015,1,0.0
absorb reality,2017,2,0.0
absorbed studios,2017,1,100.0
absortalent games,2017,1,0.0
abstract tree studio,2016,1,0.0
abstraction games,2014,1,0.0
"abstraction games,the bitmap brothers",2013,1,0.0
"abstraction games,wayforward",2016,1,0.0
abstractive works,2016,1,0.0
abyss studios,2015,1,0.0
"accela,inc.",2017,1,0.0
"acceleroto, inc.",2015,1,0.0
access games,2015,16,0.0
access software,1989,1,0.0
access software,1991,1,0.0
access software,1994,1,0.0
access software,1996,1,0.0
access software,1998,1,0.0
accidental queens,2017,4,0.0
acclaim cheltenham,1998,1,0.0
acclaim studios teeside,1999,1,0.0
accolade,1993,1,0.0
"accolade, inc",1996,1,0.0
"accolade, inc.",1996,1,0.0
"accolade, inc.",1999,2,0.0
acerio games,2016,1,0.0
achebit,2015,1,0.0
achisoft,2017,1,0.0
achpile,2016,1,0.0
achpile,2017,1,0.0
acid cat,2016,1,0.0
acid nerve,2015,1,0.0
ackk studios,2013,1,100.0
ackmi,2016,1,0.0
"acme nerd games, llc",2017,1,0.0
acnevulgaris,2016,1,0.0
"acoustica, inc.",2017,1,0.0
acquire,2012,7,0.0
acquire,2016,1,0.0
acquire corp.,2015,8,0.0
"acquire,zerodiv",2016,1,0.0
"acram digital,mobo studio",2017,13,15.38
"act 3 games, llc",2017,2,50.0
actalogic,2017,1,0.0
actalogic,2012,1,0.0
actalogic,2013,2,0.0
actalogic,2014,1,0.0
"action button entertainment, llc",2016,1,0.0
activision,1993,1,0.0
activision,1996,1,0.0
activision,1997,1,0.0
activision,2000,1,0.0
actoz soft,2017,1,100.0
actual tools,2016,1,0.0
acute games,2017,1,100.0
acuze interactives,2017,3,0.0
"acuze interactives,winterbyte",2017,1,0.0
ad aspera,2017,1,0.0
adage games,2017,1,0.0
adam delease,2015,1,0.0
adam delease,2016,1,0.0
adam delease,2017,2,0.0
adam foster,2013,1,100.0
adam hebert,2017,1,0.0
adam john adkins,2017,1,0.0
"adam mclellan,ricardo chirino",2016,2,0.0
adam mowery,2015,1,0.0
"adam saltsman,robin arnott",2012,1,0.0
adam spragg,2014,1,0.0
adam tarnowski,2015,1,0.0
adam tarnowski,2017,1,0.0
adam thompson,2017,1,0.0
adam wells,2016,1,0.0
adaptive game,2017,1,100.0
"adept studios gd,alawar entertainment",2016,1,0.0
adham jaber,2016,1,0.0
adhoc games,2015,3,33.33
adhoc games,2016,1,100.0
aditya yadav,2017,1,0.0
"adriaan de jongh,sylvain tegroeg",2017,1,0.0
adrovgames,2016,2,0.0
aduge studio,2016,1,0.0
advent rpg,2016,1,0.0
"adventure mob,corbomite games",2016,2,0.0
"adventure productions,10th art studio",2015,1,0.0
adventurepro games llc,2014,1,0.0
adventurepro games llc,2017,1,0.0
adventurous productions,2015,1,0.0
aegon games,2015,1,0.0
aegon games ltd,2016,1,0.0
aegon games ltd,2017,1,0.0
aeon dream studios,2016,8,12.5
aeon dream studios,2017,2,0.0
aeonic entertainment,2016,2,0.0
aerilon studios,2017,1,0.0
aeroplane heaven,2015,1,0.0
aeroplane heaven,2016,1,0.0
aerosoft gmbh,2012,1,0.0
aerosoft gmbh,2013,1,0.0
aerosoft gmbh,2015,7,0.0
aerosoft gmbh,2016,8,0.0
aerosoft gmbh,2017,4,0.0
"aerosoft gmbh,stairport sceneries",2017,1,0.0
"aerosoft,caipirinha games",2017,1,0.0
aesir interactive,2016,1,0.0
aesir interactive,2017,1,0.0
aetheric games,2017,1,0.0
afrodieter,2017,1,0.0
afrobeast games,2016,1,0.0
after death team,2017,1,0.0
afterlife games,2016,2,0.0
afterthought llc,2015,1,0.0
afterthought studios,2016,1,0.0
afterthought studios,2017,6,0.0
afterthought studios,2018,1,100.0
agar3s,2017,1,0.0
"agency principle,purple pwny studios",2017,1,0.0
ageod,2011,4,0.0
ageod,2012,2,0.0
ageod,2013,3,0.0
ageod,2014,4,0.0
ageod,2015,4,0.0
"ageod,hq",2015,1,0.0
aggressive combustion,2017,1,0.0
aggroblakh,2016,1,0.0
aggroblakh,2017,1,0.0
agharta studio,2013,1,0.0
aghayeva and ko s.r.o.,2017,1,0.0
agrostemma,2016,1,0.0
airwave games,2017,1,0.0
airborne games,2017,1,0.0
airship syndicate,2017,2,0.0
airtight games,2010,1,0.0
airtight games,2012,4,0.0
airtight games,2014,1,0.0
airwolt,2016,1,0.0
aist,2016,2,0.0
aivaras ivoškus,2016,1,0.0
aivaras klimas,2016,1,0.0
akakiy petrushkin,2015,1,0.0
akakiy petrushkin,2016,1,0.0
akella,2014,1,0.0
"akella,.dat",2010,1,0.0
"akella,.dat",2011,1,0.0
akimbo creations,2017,1,0.0
akonta band,2017,1,0.0
akumu games,2016,1,0.0
akumu games,2017,1,0.0
alpixel games,2015,1,0.0
"alpixel games,luis diaz,gustavo santos,albert fernandez,tice thomason",2015,1,100.0
alabeo,2015,5,0.0
alabeo,2016,3,0.0
alabeo,2017,1,0.0
alain perrin,2017,1,0.0
alakhaine specialist consulting limited,2017,2,0.0
alan edwardes,2014,1,100.0
alan edwardes,2017,1,100.0
"alan hazelden,benjamin davis",2015,1,0.0
"alan hazelden,harry lee",2014,1,0.0
alan zucconi,2015,2,0.0
"alasdair beckett-king,application systems heidelberg",2016,1,0.0
alastair john jack,2014,1,0.0
alawar,2007,1,0.0
alawar,2008,1,0.0
alawar,2009,2,0.0
alawar,2010,1,0.0
alawar,2012,1,0.0
alawar,2013,2,0.0
alawar,2014,1,0.0
alawar,2015,3,0.0
alawar,2016,1,0.0
alawar dreamdale,2013,2,50.0
alawar entertainment,2011,4,0.0
alawar entertainment,2013,4,0.0
alawar entertainment,2014,2,0.0
alawar entertainment,2015,3,0.0
alawar entertainment,2016,2,0.0
alawar entertainment,2017,1,0.0
"alawar entertainment,amegami",2013,1,0.0
"alawar entertainment,toyman interactive",2013,1,0.0
alawar five-bn,2013,1,0.0
alawar friday's games,2014,1,0.0
alawar stargaze,2011,1,0.0
alawar stargaze,2013,1,0.0
alawar stargaze,2016,1,0.0
"alawar stargaze,alawar entertainment",2015,2,0.0
"alawar,mirball games",2013,1,0.0
"alawar,whalebox studio",2014,1,0.0
albatros softworks,2017,8,37.5
albatross wirehead,2017,1,0.0
alberto santiago,2017,1,0.0
albin bernhardsson,2017,1,0.0
alchemist studio,2016,1,0.0
alcoholenthusiast,2017,1,0.0
alda games,2015,1,0.0
alder games,2012,1,0.0
alder games,2013,1,0.0
alder games,2017,2,0.0
aldorlea games,2010,1,0.0
aldorlea games,2014,7,0.0
aldorlea games,2015,20,0.0
aldorlea games,2016,4,0.0
aldorlea games,2017,4,0.0
alec smith,2017,1,100.0
"alec smith,dane winn",2016,1,0.0
aleksandar dakic,2017,1,0.0
aleksandar kuzmanovic games,2017,1,0.0
aleksander ciesielski,2015,1,0.0
aleksandr golovkin,2017,1,0.0
aleksandr kotukhov,2017,1,0.0
"aleksandr soldatov,leonid kozhushko",2017,2,50.0
alekseev,2016,1,0.0
alekseev,2017,1,0.0
aleksey abramenko,2012,1,0.0
alessandro guzzo,2017,1,0.0
alex hall,2017,1,0.0
alex hanson-white,2016,1,0.0
alex jedraszczak,2014,1,0.0
alex piola,2015,1,100.0
alex williams,2016,1,100.0
alex woodcock,2015,1,0.0
alex zhang,2015,1,0.0
alex's daddy,2017,1,0.0
alexhoratio,2017,1,100.0
"alexander ahura,alexey davydov,sergey dvoynikov,timofey shargorodskiy",2016,1,0.0
alexander benedict,2017,1,0.0
alexander bruce,2013,1,0.0
alexander byzov,2015,2,0.0
alexander byzov,2016,3,0.0
alexander byzov,2017,5,0.0
alexander goodwin,2017,1,0.0
alexander kov,2016,1,0.0
alexander mirdzveli,2015,1,0.0
alexander shvab,2017,1,0.0
alexander spillman,2017,1,0.0
alexandr kataev,2016,1,0.0
"alexandr lavelin,evgeny shcherbakov",2016,1,0.0
alexandr shvab,2017,1,100.0
"alexandru c.,vector 7",2017,1,0.0
"alexey bokulev,sergei klimov,charlie oscar lima tango interactive entertainment",2016,4,0.0
"alexey bokulev,sergei klimov,charlie oscar lima tango interactive entertainment",2017,2,0.0
"alexey bokulev,snowbird games",2009,1,0.0
"alexey davydov,sergey dvoynikov,timofey shargorodskiy",2015,2,50.0
"alexey davydov,sergey dvoynikov,timofey shargorodskiy",2016,1,0.0
alexey glinskiy,2016,1,0.0
alexey glinskiy,2017,5,0.0
alexey kargin,2017,1,0.0
"alexey khazov,cristian ionescu,lars van dorenvanck,brandon van doorn,joran vergoessen,admir leka",2016,1,0.0
alexey roenko,2016,1,0.0
alexey volonsky,2017,3,0.0
alfred lam,2012,1,0.0
aliasworlds entertainment,2009,1,0.0
"aliasworlds,amegami,rionix,melesta",2016,1,0.0
alice &amp; smith,2015,4,25.0
alice &amp; smith,2016,3,0.0
alice &amp; smith,2017,2,50.0
alien jellyfish,2017,1,0.0
alien mind,2017,1,0.0
alien octopus studio,2013,1,0.0
alien pixel studios,2016,2,50.0
alien sync interactive,2015,1,0.0
alientrap,2011,1,0.0
alientrap,2015,4,25.0
alientrap,2017,3,0.0
alikart studio,2015,1,0.0
alina digital,2016,2,50.0
alina digital,2017,2,0.0
alister software,2015,1,0.0
alister software,2016,1,0.0
alister software,2017,1,0.0
alkemi,2017,2,0.0
all aboard,2009,2,0.0
all aboard,2010,1,0.0
all aboard,2012,1,0.0
all civilized planets,2015,1,0.0
all seeing eye games,2015,1,100.0
all seeing eye games,2016,2,0.0
all seeing eye games,2017,1,0.0
all those moments,2017,1,0.0
"allsol,unknown hero",2017,1,0.0
allegorithmic,2014,2,0.0
allegorithmic,2016,1,100.0
allegorithmic,2017,3,33.33
"allegorithmic,the foundry",2016,1,100.0
allen dayan,2016,1,0.0
allgraf,2013,1,0.0
allicorn games,2015,2,0.0
allied games inc.,2016,1,0.0
allods team,2017,9,22.22
"allods team,mail.ru group",2009,1,100.0
allusio,2016,1,0.0
almighty games,2016,1,0.0
almighty games,2017,1,0.0
almost human games,2012,1,0.0
almost human games,2014,1,0.0
"alonzu,@alonzubin",2016,1,0.0
alp güleç,2016,1,0.0
alpha pack studios,2017,1,0.0
alpha strike games limited,2017,1,0.0
alpha wave entertainment,2016,1,0.0
alpha72 games,2007,1,0.0
alphanuts,2014,1,100.0
alpheratz*,2016,1,0.0
alrauna studios,2015,1,0.0
altimage games,2015,1,0.0
altai game studio,2017,1,0.0
altar games,2001,1,0.0
altar games,2007,2,0.0
altar interactive,2003,1,0.0
"alterego games,digital forest",2017,1,100.0
alternativaplatform,2017,7,28.57
alternative dreams,2016,1,0.0
alternative dreams studios,2016,1,0.0
alternative software ltd,2014,2,0.0
alternative software ltd,2015,3,0.0
alternative software ltd,2016,1,0.0
alternative software ltd,2017,2,0.0
altfuture,2016,1,0.0
alystudio,2017,1,0.0
alyssium,2017,1,0.0
alysson moraes,2017,2,0.0
amanita design,2009,2,0.0
amanita design,2012,1,0.0
amanita design,2016,3,33.33
amanita design,2017,1,0.0
amaranth games,2016,1,0.0
"amaranth games, llc",2014,2,0.0
"amaranth games, llc",2015,2,0.0
"amaranth games, llc",2016,1,0.0
amaterasu software,2016,4,0.0
amaterasu software,2017,8,25.0
amazastrophic,2017,1,0.0
amazu media,2017,2,0.0
ambertail,2017,1,0.0
ambiera,2016,1,0.0
ambiera,2017,1,0.0
ambiera e.u.,2015,3,33.33
ameet sharma,2017,1,0.0
amegami,2016,1,0.0
americo mateus rodrigues,2016,1,0.0
amethyst quarter,2015,1,0.0
ametist studio,2017,1,0.0
"amidos,big o",2012,1,100.0
"amidos,big o,bauer",2012,1,100.0
amilton neves,2017,1,0.0
amkonius games,2017,1,0.0
amplecti chao,2017,1,0.0
amund farifteh,2015,1,0.0
anrael,2016,1,0.0
anamik majumdar,2016,1,0.0
anarchy enterprises,2007,1,0.0
anarchy enterprises,2015,5,0.0
anarchy enterprises,2016,1,0.0
anarchy interactive,2015,1,0.0
anarkis gaming,2016,1,0.0
anarteam,2016,2,0.0
"anatola howard,duncan cross",2017,1,0.0
anatoliy loginovskikh,2016,6,0.0
anatoliy loginovskikh,2017,4,0.0
anatoly konstantinov,2017,1,0.0
anawiki games,2016,3,0.0
anawiki games,2017,5,0.0
ancestral quest,2017,1,0.0
"anchora games,dream harvesters",2016,1,100.0
andrade games,2016,2,0.0
andras beck,2016,1,100.0
"andre chagas silva,anthony septim",2015,2,50.0
andreas ammer,2017,1,0.0
andreas britten,2016,2,0.0
andreil game,2016,1,0.0
andres martin jimenez,2016,1,100.0
andrettin,2015,1,100.0
andrettin,2016,2,0.0
andrettin,2017,1,0.0
"andrew ""versus"" larionov",2017,1,0.0
andrew brady,2016,1,0.0
andrew gilmour,2016,2,0.0
andrew higgins,2017,1,0.0
andrew hulshult,2015,1,0.0
andrew morrish,2013,1,0.0
andrew morrish,2017,1,0.0
andrew rodenhiser,2017,1,100.0
andrew rowe,2015,1,0.0
andrew rowe,2017,1,0.0
andrew ryan henke,2017,2,0.0
andrew smith,2017,1,0.0
andrew willman,2016,1,0.0
"andrewdrumov, sanke berdochan",2015,1,0.0
"andrewmd5,codeusa",2015,2,0.0
andrey haritonov,2017,1,0.0
andrey malyarov,2016,1,0.0
andrii vintsevych,2009,1,100.0
andrii vintsevych,2015,1,0.0
andrii vintsevych,2017,1,100.0
andré bertaglia,2016,7,14.29
andré bertaglia,2017,5,20.0
andy howard games,2017,1,0.0
andy jurko,2016,4,0.0
andy jurko (match gems),2016,1,0.0
andy wallace,2015,1,0.0
andy wallace,2016,1,0.0
"andy wallace,nathaniel chambers",2015,1,0.0
anea_duo_dev,2016,1,0.0
angel carriola,2017,1,0.0
angel iliev hrisimov,2016,1,0.0
angel t,2017,1,0.0
"angels blue digital entertainment,digitalez",2012,1,0.0
"angels blue digital entertainment,digitalez",2015,2,0.0
"angels blue digital entertainment,digitalez",2016,1,0.0
"angels blue digital entertainment,digitalez",2017,2,0.0
"angry hangar games, llc",2016,1,0.0
angry mob games,2014,1,0.0
angry mob games,2017,1,0.0
angryangelgames,2016,2,0.0
anima chambers,2018,1,100.0
anima locus,2015,1,0.0
anima project,2016,2,0.0
animation arts,2009,2,0.0
animation arts,2010,1,0.0
animation arts,2012,1,0.0
animation arts,2013,1,0.0
animation arts creative gmbh,2016,1,0.0
animation arts gmbh,2015,1,0.0
animation catalyst,2015,1,0.0
animation f/x,1994,1,0.0
anime hearts,2016,1,0.0
anime squad,2017,1,0.0
animu game,2015,3,66.67
animus interactive inc,2016,1,100.0
anino games,2016,2,0.0
aniode,2015,1,0.0
anisoptera games,2015,1,0.0
"anisoptera games,peaks",2015,1,0.0
ankama,2012,1,0.0
ankama play,2013,1,0.0
ankama studio,2014,4,25.0
ankama studio,2015,11,9.09
ankama studio,2016,6,16.67
ankama studio,2017,3,33.33
another noname,2017,1,0.0
another reality,2016,1,0.0
anothink,2015,1,0.0
ansimuz games,2014,1,0.0
ant workshop ltd,2016,2,0.0
antab studio,2017,1,0.0
"antanas marcelionis,renė petrulienė",2016,1,0.0
"antaria, llc",2017,1,0.0
antarsoft,2016,1,0.0
anteater games,2015,1,0.0
anthony @ pow games,2015,1,0.0
anthony case,2014,2,0.0
anthony case,2015,1,0.0
anthony kozak,2016,1,0.0
anti crunch studios,2016,2,0.0
anti gravity game studios,2017,1,0.0
anti-ded gamedev,2016,1,0.0
anti-ded gamedev,2017,2,0.0
anticto,2016,2,50.0
antimatter games,2017,1,0.0
"antimatter games,tripwire interactive",2017,3,33.33
antiproto,2015,1,0.0
antizero company,2016,1,0.0
antizero company,2017,1,0.0
antoine bilodeau,2016,1,0.0
anton gerdelan,2016,2,50.0
anton riot,2016,2,0.0
anton riot,2017,1,100.0
anton shatalov,2017,1,100.0
antonio renna,2015,1,0.0
antonio renna,2016,2,50.0
